country,iso2c,iso3c,year,rd_expenditure_pct,region_category
Algeria,DZ,DZA,2017,0.47865,3. Emerging Economies
Algeria,DZ,DZA,2005,0.06367,3. Emerging Economies
Algeria,DZ,DZA,2004,0.15186,3. Emerging Economies
Algeria,DZ,DZA,2003,0.18122,3. Emerging Economies
Algeria,DZ,DZA,2002,0.33807,3. Emerging Economies
Algeria,DZ,DZA,2001,0.21219,3. Emerging Economies
Australia,AU,AUS,2021,1.85509,1. The West (OECD)
Australia,AU,AUS,2019,1.8257,1. The West (OECD)
Australia,AU,AUS,2017,1.87919,1. The West (OECD)
Australia,AU,AUS,2015,1.91902,1. The West (OECD)
Australia,AU,AUS,2013,2.17709,1. The West (OECD)
Australia,AU,AUS,2011,2.23445,1. The West (OECD)
Australia,AU,AUS,2010,2.37009,1. The West (OECD)
Australia,AU,AUS,2008,2.39898,1. The West (OECD)
Australia,AU,AUS,2006,2.17862,1. The West (OECD)
Australia,AU,AUS,2004,1.84802,1. The West (OECD)
Australia,AU,AUS,2002,1.74654,1. The West (OECD)
Australia,AU,AUS,2000,1.57198,1. The West (OECD)
Bahrain,BH,BHR,2014,0.10116,2. Rentier States (Gulf)
Canada,CA,CAN,2023,1.70133,1. The West (OECD)
Canada,CA,CAN,2022,1.71166,1. The West (OECD)
Canada,CA,CAN,2021,1.86431,1. The West (OECD)
Canada,CA,CAN,2020,1.93414,1. The West (OECD)
Canada,CA,CAN,2019,1.75578,1. The West (OECD)
Canada,CA,CAN,2018,1.7372,1. The West (OECD)
Canada,CA,CAN,2017,1.68702,1. The West (OECD)
Canada,CA,CAN,2016,1.72903,1. The West (OECD)
Canada,CA,CAN,2015,1.69359,1. The West (OECD)
Canada,CA,CAN,2014,1.71483,1. The West (OECD)
Canada,CA,CAN,2013,1.70624,1. The West (OECD)
Canada,CA,CAN,2012,1.77304,1. The West (OECD)
Canada,CA,CAN,2011,1.78714,1. The West (OECD)
Canada,CA,CAN,2010,1.82504,1. The West (OECD)
Canada,CA,CAN,2009,1.91742,1. The West (OECD)
Canada,CA,CAN,2008,1.85578,1. The West (OECD)
Canada,CA,CAN,2007,1.90358,1. The West (OECD)
Canada,CA,CAN,2006,1.94304,1. The West (OECD)
Canada,CA,CAN,2005,1.97127,1. The West (OECD)
Canada,CA,CAN,2004,1.99734,1. The West (OECD)
Canada,CA,CAN,2003,1.96781,1. The West (OECD)
Canada,CA,CAN,2002,1.97171,1. The West (OECD)
Canada,CA,CAN,2001,2.02117,1. The West (OECD)
Canada,CA,CAN,2000,1.85848,1. The West (OECD)
"Egypt, Arab Rep.",EG,EGY,2023,1.03356,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2022,1.01968,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2021,0.91175,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2020,0.91564,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2019,0.79617,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2018,0.68839,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2017,0.64486,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2016,0.70848,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2015,0.71858,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2014,0.63649,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2013,0.63895,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2012,0.50899,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2011,0.53154,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2010,0.43345,3. Emerging Economies
"Egypt, Arab Rep.",EG,EGY,2009,0.43312,3. Emerging Economies
